TIC ID,TOI,CTOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,ACWG ESM,ACWG TSM,Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,Pipeline Signal ID,Source,Detection,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Stellar Metallicity,Stellar Metallicity error,Stellar Mass (M_Sun),Stellar Mass error,Sectors,Comments,Date TOI Alerted (by TESS Project),Date TOI Updated (by TESS Project),Date Modified (by ExoFOP-TESS)
310002617,4087.01,TIC 310002617.01,3,4,4,3,3,4,4,74.6,203.6,4,8,2,PC,PC,11.2961,0.027,1,qlp-s47-tois,QLP,217.925779,83.372706,-16.728,0.038,10.376,0.039,2459606.8,0.0002115,3.1774821,0.0000012,2.832,0.051,15.616079,0.000224,14280,0.206223,13.9176,0.653275,638.068,1400,309,301.676,2.209,6071,205.3,4.39,0.09,1.12,0.05,,,1.13,0.173434,"14,19,21,26,40,41,47",found in faint-star QLP search; CTOI from Olmschenk et al. (2021); variable host,2021/6/23,2022/6/28,2022/8/19
235902467,4103.01,,3,4,3,3,3,4,4,30.1,131.9,4,2,1,PC,PC,11.2056,0.006,1,qlp-s47-tois,QLP,289.751203,82.875584,14.219,0.044,74.947,0.054,2459583.067,0.0004193,12.2741006,0.000009,3.539,0.09,15.759279,0.000884,14410,0.814375,12.7309,0.645434,51.2875,745,211,243.002,1.43,5674,129.2,4.4,0.08,1.05,0.05,,,1.009,0.120724,"18,19,20,24,25,26,40,47",found in faint-star QLP search,2021/6/23,2022/6/28,2022/8/19
417646390,4137.01,TIC 417646390.01,3,4,4,3,4,4,4,55.7,151.9,1,8,3,PC,PC,10.8557,0.009,1,qlp,QLP,77.612879,70.391079,19.859,0.035,-2.936,0.043,2459032.285,0.0005966,3.8016435,0.0000151,3.294,0.097,9.071114,0.001414,8320,1.30221,13.4483,0.644834,710.957,1438,107,334.993,3.2815,6244,129.2,4.19,0.09,1.47,0.07,,,1.21,0.180656,"19,26",found in faint-star QLP search; CTOI from Olmschenk et al. (2021),2021/6/23,2021/6/23,2022/8/19
257060897,4138.01,TIC 257060897.01,3,5,5,3,4,4,4,60.5,72,1,2,1,CP,CP,11.2633,0.007,1,qlp-s49-tois,QLP,227.532153,72.710313,13.268,0.039,-7.813,0.035,2459660.608,0.0003275,3.6600377,0.000002,4.498,0.066,9.377714,0.000236,8600,0.217319,17.5475,0.814404,1215.02,1644,259,505.703,5.0755,5988,140,3.93,0.08,1.89,0.09,,,1.11,0.147552,"14,15,16,20,21,22,26,40,41,47,48,49",found in faint-star QLP search; TESS CP (Montalto et al. 2021),2021/6/23,2022/7/13,2022/8/19
400103802,4140.01,TIC 400103802.01,3,4,3,3,3,4,4,37.1,123.2,2,2,1,PC,PC,12.1311,0.006,1,qlp-s40-tois,QLP,96.977875,74.00813,6.91,0.04,-2.301,0.039,2459413.085,0.0006544,4.2511214,0.0000057,2.823,0.1,15.120533,0.002176,13830,2.00381,11.2617,0.607523,240.568,1097,107,311.002,2.5875,5501,128.5,4.48,0.08,0.94,0.05,,,0.965,0.121235,"19,20,26,40",found in faint-star QLP search; CTOI from Olmschenk et al. (2021),2021/6/23,2022/2/15,2022/8/19
279947414,4145.01,TIC 279947414.01,3,4,4,3,3,4,4,75.4,227.2,2,11,3,PC,PC,11.5241,0.006,1,qlp,QLP,39.429743,80.267384,11.766,0.04,-13.413,0.044,2459027.544,0.0002183,4.0664531,0.0000061,1.9,0.098,21.768639,0.003024,19850,2.78512,12.7314,0.708384,175.461,1013,220,205.387,1.1905,5421,155.1,4.54,0.08,0.86,0.05,,,0.944,0.124549,"18,19,25,26",V-shaped; found in faint-star QLP search; CTOI from Olmschenk et al. (2021),2021/6/23,2021/6/23,2022/8/19
470171739,4153.01,TIC 470171739.01,3,4,3,3,3,4,4,64.6,90.3,3,31,1,PC,PC,11.1477,0.006,1,qlp,QLP,335.39347,82.216079,16.33,0.041,8.273,0.038,2459026.055,0.000373,4.6174187,0.0000128,4.461,0.079,11.712902,0.000456,10730,0.420022,17.5913,0.805529,952.868,1547,189,423.84,3.6345,6411,231.7,4.1,0.1,1.67,0.08,,,1.289,0.218178,"18,19,24,25,26",found in faint-star QLP search,2021/6/23,2021/6/23,2022/8/19
343952976,4283.01,,3,4,4,3,3,4,4,89.7,128.8,3,0,1,PC,PC,11.227,0.006,1,qlp,QLP,276.828678,-77.131653,1.843,0.035,-16.178,0.043,2458680.566,0.0004192,3.0130918,0.000044,2.343,0.172,15.472898,0.003954,14150,3.64178,17.5256,0.782322,1326.03,1681,161,417.879,3.8625,6838,131.8,4.32,0.09,1.4,0.06,,,1.48,0.254976,"12,13",found in faint-star QLP search,2021/7/12,2021/7/12,2022/8/19
305767364,4381.01,,3,4,4,3,3,4,4,176.3,176.7,6,0,1,PC,PC,12.2907,0.006,1,spoc,SPOC,263.167427,-64.352997,-9.613,0.03,13.723,0.036,2459362.926,0.000211181,1.497422346,2.13E-05,2.223842621,0.01594842,43.558222,0.339335,39324.5082,312.49063,16.71156513,0.93622744,846.5055834,1375.710989,130.13509,289.745,2.4295,5377,130.812,4.5569,0.0823989,0.841058016,0.0468091,,,0.93,0.118868,39,near synchronization with stellar variability; possible secondary,2021/8/13,2021/8/12,2022/8/19
214243287,4398.01,,3,4,3,3,1,4,4,,,0,0,0,PC,PC,9.933,0.018,1,qlp,QLP,260.799238,-51.024433,5.9,2,-4.4,1.9,2459379.721,0.0008257,5.7525297,0.0000216,4.641,0.282,9.596767,0.01048,8800,9.65231,,,,,110,213.41,,,,,,,,,,,,"12,39",Secondary eclipse depth may be consistent with a planet; slight depth aperture correlation; possible centroid shift; no stellar parameters,2021/8/19,2021/8/19,2022/8/25
