Signal-to-noise,Source Pipeline,TIC,Full TOI ID,TOI Disposition
118.55921,spoc,198588220,2014.01,KP
118.415375,spoc,380783252,1059.01,PC
118.22117,spoc,31858843,1069.01,PC
118.15649,spoc,311035838,1419.01,KP
118,qlp,394722182,2236.01,PC
118,qlp,272049972,1519.01,PC
118,qlp,1400770435,1344.01,PC
117.716515,spoc,388104525,112.01,KP
117.54032,spoc,306362738,479.01,KP
116.95207,spoc,211438925,194.01,KP
116.24828,spoc,394657039,159.01,PC
116.09392,spoc,294301883,774.01,KP
116,qlp,162695785,1970.01,PC
115.97229,spoc,232612416,1248.01,PC
115.963844,spoc,459969957,1274.01,PC
115.953514,spoc,65412605,626.01,PC
115,qlp,100757807,811.01,PC
115,qlp,440777904,511.01,KP
114.42739,spoc,28230919,1144.01,KP
114.28932,spoc,376524552,1811.01,PC
114.223114,spoc,271168962,828.01,KP
114,qlp,366074069,1521.01,PC
113,qlp,157568289,645.01,PC
113,qlp,322062001,2055.01,PC
112.98463,spoc,21744120,2127.01,KP
112.59056,spoc,61098812,1833.01,KP
112.40956,spoc,51234631,1721.01,KP
111.37919,spoc,416195870,1264.01,PC
111,qlp,122612091,264.01,KP
111,qlp,229750058,1825.01,PC
111,qlp,54044474,1045.01,PC
111,qlp,267694283,1656.01,PC
110.04822,spoc,409794137,1478.01,PC
110,qlp,420177051,2562.01,PC
109.28948,spoc,73723286,665.01,PC
108.84278,spoc,31858844,1070.01,EB
108,qlp,367099243,1365.01,PC
108,qlp,297967252,1025.01,PC
108,qlp,191284318,1458.01,KP
107.7432,spoc,111991770,820.01,KP
107,qlp,317507345,1615.01,PC
106.47138,spoc,399860444,2140.01,KP
106,qlp,323295479,1861.01,PC
106,qlp,289539327,1186.01,PC
106,qlp,447206604,1999.01,PC
106,qlp,166833457,404.01,KP
105,qlp,32949762,2464.01,KP
105,qlp,52548453,987.01,PC
104.9892,spoc,348538431,507.01,PC
103.599464,spoc,154872375,1135.01,PC
103.52802,spoc,46096489,818.01,KP
103.10917,spoc,101721385,2129.01,KP
103.02424,spoc,437248515,683.01,KP
103,qlp,92359850,387.01,EB
103,qlp,33091633,984.01,PC
103,qlp,405452527,2349.01,PC
103,qlp,382474101,349.01,PC
102.15615,spoc,184240683,250.01,KP
102,qlp,341544930,1182.01,PC
101.71772,spoc,13349647,567.01,KP
101.41927,spoc,219698950,766.01,KP
101,qlp,64553698,1397.01,PC
101,qlp,188989177,433.01,PC
100.66119,spoc,261867566,905.01,PC
100,qlp,33878688,1210.01,PC
100,qlp,361034196,1090.01,PC
