TOI,p_value,Period (d),Rp (R_Earth),Planet Eq Temp (K),Planet SNR,Distance (pc),Stellar Teff (K),R_star (R_Sun),M_star (M_Sun)
1130.01,,8.34998,11.1424,588,129,58.2609,4236,0.74,0.66
1134.01,,,18.2358,,129,170.732,6277,1.65,1.226
1135.01,,8.0277283,9.34085,1113,152,114.048,5962.7,1.15,1.155
1141.01,,16.94870872,45.22045053,758.5937679,4904.9927,97.3391,5894.7,1.117900014,1.08
1142.01,,3.3687742,21.4071,2163,255,299.294,7518,2.68,1.735
1143.01,,11.2071627,16.5854,1474,185,191.984,6152,2.24,1.274
1144.01,,4.887800599,4.862481666,808.2660375,105.862625,37.7647,4757.3,0.759854019,0.77
1148.01,,5.5514908,15.6197,1350,685,96.5173,6403.9,1.55,1.25
1150.01,,1.481139064,20.31714395,3445.983227,293.4718,204.455,9435,2.287729979,2.431
1151.01,,3.4741267,20.5828,2139,406,136.426,8894.8,1.62,2.282
1152.01,,6.501191119,,976.5873888,109.38585,105.334,5485,,
1161.01,,1.763588814,,2084.402453,167.48143,519.096,7986.1,,
1163.01,,3.0771797,,2589,142,148.342,9311.3,,
1165.01,,2.2552852,14.7605,1351,1175,126.261,5787,0.96,1.071
1169.01,,6.7075429,17.4647,1079,145,259,6134.3,1.24,
1173.01,,7.0643995,9.3403,867,206,132.353,5429.6,0.96,0.917
1176.01,,14.007741,12.8671,1050,253,295.561,6557.7,1.57,1.38
1181.01,,2.1031942,16.6265,2073,677,302.819,6122,1.93,1.16
1182.01,,7.64245,18.5438,1311,102,,6496.7,2.33,
1186.01,,11.2463219,19.3279,1233,185,294.85,6115.7,2.01,1.143
1190.01,,3.695056,15.9011,2415,140,280.948,7106.7,1.63,1.532
1194.01,,2.3106444,8.88618,1090,230,149.667,5339.9,0.99,0.918
1198.01,,3.612673848,18.36696834,1985.012412,161.9518,470.878,8324,1.711349964,2.053
1229.01,,31.81322641,21.63149838,672.8454841,215.36266,254.584,6028.84,1.988929987,
1236.01,,3.030067778,12.71434978,1077.41503,226.14114,159.658,5242.82,0.857369006,0.896
1248.01,,4.360155321,6.773865231,961.606187,127.1462,168.735,5227,0.874131024,0.891
1251.01,,5.9630537,10.0492,,262,185.952,5273,0.94,
1254.01,,1.0180116,8.27046,2045,158,199.039,5451,1.09,0.952
1257.01,,5.4526984,14.3252,1294,143,249.325,6509,1.57,1.336
1259.01,,3.4779796,13.4443,917,723,118.106,4699,0.77,0.751
1264.01,,2.7441674,7.80643,995,179,141.755,5040,0.97,0.84
1265.01,,2.2047975,17.116,2559,255,341.079,6532.23,1.99,1.347
1268.01,,8.1577318,9.31728,859,323,109.557,5091.2,0.9,0.87
1270.01,0.002,14.30,18.49,551.00,573,171.14,5056.60,0.83,0.84
1274.01,,19.3203256,9.45292,535,175,178.141,4968.1,0.8,0.747
1282.01,,0.9689943,17.8497,2406,148,444.586,6430,1.41,1.3
1283.01,,10.33789148,11.2063562,717.3875234,181.239,92.3831,5336.96,0.838682,0.92
1292.01,,1.44119,27.23778515,1939.978024,320,190.403,5672.9,1.46056,1.038
