time,flux,flux_err,time_original,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2
-0.2924982675251232,1.0002274378223759,0.0005924627004367677,1460.2198721324748,0,-1.156008e-03,744.86155,999.96270,1972397,7.2415023e+04,4.2384396e+01,1.7484839e+03,5.3370798e-01,7.8153125e+04,4.6292282e+01,0,nan,nan,nan,nan,744.86155,7.3103904e-04,999.96270,6.2706490e-04,2.1235386e-03,-1.7298901e-02
-0.29249030233231005,0.9996132714409781,0.0005911717934753402,1402.5973852976676,0,1.152058e-03,744.83075,1000.03460,1887794,7.1856008e+04,4.2094646e+01,1.3167739e+03,5.2661979e-01,7.7458875e+04,4.5809219e+01,0,nan,nan,nan,nan,744.83075,7.1826688e-04,1000.03460,6.2979106e-04,-2.9599614e-04,5.1899981e-03
-0.2922738997450674,1.0004483541988571,0.00058194187746532,1431.4088491002549,0,-1.147397e-04,744.85644,1000.00753,1930096,7.3369812e+04,4.2473248e+01,1.4710565e+03,5.2894676e-01,7.9074500e+04,4.5996143e+01,0,nan,nan,nan,nan,744.85644,7.1712804e-04,1000.00753,6.1455020e-04,1.6442062e-03,-1.6302738e-02
-0.29220916507287525,0.9986690073488492,0.0005953594142151285,1395.394854584927,0,1.466845e-03,744.82917,1000.03357,1877219,7.0826836e+04,4.1836323e+01,1.2844984e+03,5.2584720e-01,7.6418875e+04,4.5557335e+01,0,nan,nan,nan,nan,744.82917,7.2521047e-04,1000.03357,6.3752447e-04,-4.4240232e-04,3.2217535e-03
-0.2920959692127016,0.9999874374226332,0.0005897671868434363,1409.8005914807873,0,8.315408e-04,744.83643,1000.03276,1898370,7.1541891e+04,4.2009190e+01,1.3441523e+03,5.2656955e-01,7.7409328e+04,4.5654057e+01,0,nan,nan,nan,nan,744.83643,7.2368124e-04,1000.03276,6.3054392e-04,-3.0466008e-03,2.0598380e-02
-0.29193791403540065,1.000482735712167,0.0005793260592619889,1388.1923139859646,0,1.771246e-03,744.82738,1000.02970,1866644,7.3558805e+04,4.2480282e+01,1.2583369e+03,5.2616286e-01,7.9411273e+04,4.5982822e+01,0,nan,nan,nan,nan,744.82738,6.9912733e-04,1000.02970,6.1838556e-04,9.2141679e-05,-9.0937002e-04
-0.29185251686333114,1.0008752020628802,0.0005836107848236564,1438.6120823331366,0,-4.083069e-04,744.85560,1000.00002,1940672,7.3154469e+04,4.2442451e+01,1.5298442e+03,5.2973187e-01,7.8941656e+04,4.6030914e+01,0,nan,nan,nan,nan,744.85560,7.2027196e-04,1000.00002,6.1705924e-04,-3.3852977e-03,3.2316562e-02
-0.2918170871927153,1.000856288405973,0.0005925528428828143,1460.2205533128072,0,-1.156027e-03,744.86207,999.96206,1972398,7.2462414e+04,4.2393234e+01,1.7485585e+03,5.3371733e-01,7.8204148e+04,4.6300442e+01,0,nan,nan,nan,nan,744.86207,7.3036127e-04,999.96206,6.2678824e-04,2.1195919e-03,-1.7289503e-02
-0.2918091324846972,1.0001791543995198,0.0005915244859221909,1402.5980664675153,0,1.152028e-03,744.82914,1000.03456,1887795,7.1897438e+04,4.2123676e+01,1.3167490e+03,5.2662086e-01,7.7503531e+04,4.5837029e+01,0,nan,nan,nan,nan,744.82914,7.1771257e-04,1000.03456,6.2922551e-04,-2.9927742e-04,5.1901140e-03
-0.29159282825374183,0.9995138034395372,0.0005817182940201604,1431.4095301717462,0,-1.147683e-04,744.85561,1000.00703,1930097,7.3298664e+04,4.2457706e+01,1.4710411e+03,5.2894181e-01,7.8997906e+04,4.5976879e+01,0,nan,nan,nan,nan,744.85561,7.1755727e-04,1000.00703,6.1486277e-04,1.6495410e-03,-1.6303331e-02
