TIC ID,TOI,CTOI,Master priority,SG1A priority,SG1B priority,SG2 priority,SG3 priority,SG4 priority,SG5 priority,ESM,TSM,Predicted Mass (M_Earth),Time Series Observations,Spectroscopy Observations,Imaging Observations,TESS Disposition,TFOPWG Disposition,TESS mag,TESS mag error,Pipeline Signal ID,Source,Detection,RA (deg),Dec (deg),PM RA (mas/yr),PM RA error,PM Dec (mas/yr),PM Dec error,Transit Epoch (BJD),Transit Epoch error,Period (days),Period error,Duration (hours),Duration error,Depth (mmag),Depth (mmag) error,Depth (ppm),Depth (ppm) error,Planet Radius (R_Earth),Planet Radius error,Planet Insolation (Earth flux),Planet Eq Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance error,Stellar Teff (K),Stellar Teff error,Stellar log(g) (cm/s2),Stellar log(g) error,Stellar Radius (R_Sun),Stellar Radius error,Stellar Metallicity,Stellar Metallicity error,Stellar Mass (M_Sun),Stellar Mass error,Sectors,Comments,Date TOI Alerted (by TESS Project),Date TOI Updated (by TESS Project),Date Modified (by ExoFOP-TESS),depth,sigma,sigma_full,is_below_line
229510866,1181.01,,4,5,5,4,4,4,4,119.4,121.9,317.0,12,16,5,CP,CP,10.079,0.009,1,qlp-s59-ffi,QLP,297.215817,64.354351,-5.676,0.084,0.188,0.066,2459933.703,0.0001437,2.1031942,5e-07,3.957,0.083,7.754813,0.024122,7117.0,22.2169,16.733,0.749521,3212.53,2097.0,513.0,302.819,3.502,6122.0,124.7,3.93,0.08,1.93,0.09,,,1.16,0.164212,"14,15,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55,56,57,58,59",TOI-1181 b,2019/8/27,2023/2/9,2023/2/25,0.992883,0.0001525298295058,0.0001488580011844,True
38846515,106.01,,5,5,5,5,5,5,5,89.8,109.5,317.0,1,0,3,KP,KP,10.3157,0.006,1,qlp-s63-ffi,SPOC,68.959816,-64.027039,10.845,0.035,-0.499,0.052,2460036.374,0.0002612,2.8493822,8e-07,3.643,0.746,8.772262,0.193144,8047.0,177.876,16.5843,0.770559,2657.93,2000.0,505.0,364.411,2.729,6900.0,,4.438,,1.77,0.08,,,1.44,0.243534,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62,63",WASP-100 b,2019/5/7,2023/5/11,2023/5/11,0.991953,0.0001654180910987,0.0001541273990456,True
22529346,495.01,,5,5,5,5,5,5,5,324.7,479.1,317.0,0,1,3,KP,KP,10.056,0.006,1,qlp-s61-ffi,SPOC,107.600231,-39.09727,-3.848,0.04,25.607,0.042,2459986.211,0.0001842,1.2749246,3e-07,2.783,0.038,20.494396,0.094326,18699.0,86.8734,22.0328,0.876995,6216.41,2473.0,502.0,269.898,1.571,6459.0,,4.24006,,1.52,0.06,,,1.45,0.25252,"7,33,34,61",WASP-121 b,2019/3/14,2023/4/4,2023/4/7,0.981301,0.0003894838996175,0.0003417607278191,True
387259626,1455.01,,5,5,5,5,3,5,5,508.6,1430.9,317.0,2,2,2,PC,APC,10.1543,0.006,1,qlp-s52-tois,QLP,308.670288,66.440384,33.7,0.039,20.793,0.04,2459852.06,0.000793,3.623143,2.9e-06,3.431,0.375,19.776564,0.986887,18050.0,908.544,34.0676,4.69417,2840.57,2033.0,491.0,245.692,1.151,6458.8,157.5,4.32,0.09,1.35,0.06,,,1.378,0.24071,"15,16,17,18,24,25,52,56",Could be large object if on 387259617;  4.8 sigma odd/even; secondary eclipse consistent with a ultrahot Jupiter; large ; TFOP SB1/APC,2019/11/21,2022/12/5,2022/12/14,0.98195,0.0005596902794272,0.0004353004603076,True
1129033,398.01,,5,5,5,5,5,5,5,332.9,769.9,113.76,1,0,4,KP,KP,9.62713,0.007,1,spoc,UNKNOWN,37.155522,-7.060667,93.889,0.129,-1.567,0.207,2459168.521,5.56e-05,1.36002828,2.08e-07,2.165275076,0.005123441,21.300942,0.050612,19427.69447,46.61427,13.09118126,0.60228205,1343.156827,1544.014699,482.2753,105.166,1.1955,5500.0,,4.48298,,0.933974981,0.0429146,0.07,0.03,0.991,0.120696,"4,31",WASP-77 A b,2019/2/8,2021/12/2,2022/12/14,0.98057230553,0.0004733100255863,0.0004733100255863,True
6893917,5074.01,,5,5,5,5,5,5,5,163.2,256.2,317.0,0,0,0,KP,KP,9.02097,0.006,1,qlp-s46-tois,SPOC/QLP,125.617407,13.735309,-25.428,0.082,-2.014,0.052,2459576.319,0.0001341,3.0801855,1.04e-05,3.233,0.014,10.517272,3.9e-05,9640.0,0.0357111,17.5341,0.599089,2090.4,1883.0,468.0,226.5,2.4795,7511.0,130.4,4.21,0.08,1.7,0.06,,,1.732,0.289663,"44,45,46",KELT-17 b,2022/1/6,2022/3/11,2022/12/14,0.99036,0.0002901943186982,0.0002901943186982,True
229791084,1864.01,TIC 229791084.01,5,5,5,5,5,5,5,105.0,124.7,317.0,0,0,0,KP,KP,12.2856,0.007,1,qlp-s52-tois,CTOI,284.443905,69.570837,-5.575,0.035,-3.373,0.044,2459766.544,0.0001464,1.6453265,3e-07,2.59,0.011,21.170633,0.000149,19310.0,0.137604,19.0536,0.849766,1816.48,1818.0,465.0,559.068,6.021,6023.0,120.7,4.25,0.08,1.32,0.06,,,1.12,0.147144,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52",Qatar-10 b; CTOI from Ethan Kruse,2020/5/29,2022/10/4,2022/12/14,0.98069,0.0007856120124927,0.0006360576252044,True
97735908,4612.01,,5,5,5,5,5,5,5,158.8,166.8,317.0,0,0,1,KP,KP,8.22398,0.006,1,qlp-s45-tois,SPOC/QLP,92.664023,30.957133,16.74,0.078,-2.405,0.065,2459549.474,0.0002356,4.113769,2.1e-05,4.941,0.019,6.151805,2.4e-05,5650.0,0.0221907,14.5845,0.672289,1438.39,1715.0,434.0,134.058,0.7975,6327.0,132.2,3.99,0.09,1.88,0.09,,,1.249,0.195063,"43,44,45",KELT-2 A b,2021/11/9,2022/3/11,2022/12/14,0.99435,0.0002035749841061,0.0002035749841061,True
25155310,114.01,,5,5,5,5,5,5,5,53.5,161.8,77.37,0,1,3,KP,KP,10.6103,0.006,1,spoc,UNKNOWN,63.374706,-69.226593,63.134,0.045,53.433,0.039,2459363.488,0.000529079,3.288787761,5.28e-07,3.416360176,0.010019712,7.610576,0.016621,6985.089176,15.308442,10.43546273,0.51484174,759.3379892,1338.839545,430.25754,216.526,0.932,5800.0,,4.28004,,1.241750002,0.0610804,0.20683,0.0458093,1.01,0.123355,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,36,37,38,39",WASP-126 b,2019/5/7,2021/12/2,2022/12/14,0.993014910824,0.0002222062322724,0.000208161731064,True
86396382,1725.01,,5,5,5,5,5,5,5,243.1,336.9,317.0,25,1,0,KP,KP,11.0967,0.013,1,qlp-s45-tois,SPOC,97.636645,29.672266,-1.58,0.068,-6.958,0.058,2459550.243,0.0001201,1.0914167,5e-07,2.774,0.103,18.715616,0.000201,17090.0,0.185527,23.9976,1.1164,5597.87,2409.0,429.0,427.246,5.9855,6154.0,105.682,4.02046,0.0803026,1.75,0.08,0.21,0.1,1.17,0.160593,"20,43,44,45",WASP-12 b,2020/2/19,2022/3/10,2022/12/14,0.98291,0.000494744375506,0.000494744375506,True
43647325,423.01,,5,5,5,5,5,5,5,130.5,147.2,317.0,0,1,1,KP,KP,10.4408,0.006,1,spoc,UNKNOWN,76.081891,-6.22978,20.664,0.064,10.822,0.056,2459176.768,0.000197049,3.161569701,6.73e-07,3.142579234,0.011049015,19.148968,0.04788,17482.23281,44.09823,14.86195464,0.7204642,758.1026175,1338.294671,426.45526,202.218,1.6835,6072.0,125.1,4.41,0.08,1.097740054,0.0531332,-0.05,0.05,1.135,0.154188,"5,32",WASP-35 b,2019/2/8,2021/12/2,2022/12/14,0.98251776719,0.0006506513988157,0.0006506513988157,True
138168780,1651.01,,5,5,5,5,5,5,5,141.1,208.2,317.0,0,1,2,KP,KP,9.88278,0.006,1,qlp-s60-ffi,SPOC/QLP,94.792955,73.827567,-16.643,0.055,-22.593,0.111,2459962.142,0.0001022,3.7649921,5e-07,2.663,0.016,16.235279,0.098826,14842.0,91.0184,17.7429,0.72972,588.305,1372.0,425.0,235.479,2.418,6724.0,164.0,4.29,0.09,1.42,0.06,,,1.432,0.259705,"19,20,26,40,53,59,60",XO-6 b,2020/1/29,2023/2/27,2023/3/3,0.985158,0.0004783889892654,0.0004145059495541,True
236887394,1465.01,,5,5,5,5,5,5,5,143.2,299.7,105.07,0,0,2,KP,KP,11.8478,0.006,1,qlp-s51-tois,SPOC,303.38187,65.162331,12.636,0.048,58.17,0.041,2459717.423,0.0001255,1.4200248,3e-07,1.431,0.124,26.07514,0.002288,23730.0,2.10693,12.5242,0.748036,382.328,1231.0,424.0,185.615,0.801,4910.0,108.354,4.57248,0.0828462,0.77,0.05,0.2,0.1,0.804,0.0974869,"15,16,17,18,21,24,25,41,48,51,55",Qatar-1 b,2019/12/5,2023/3/15,2023/3/15,0.97627,0.0008545635237836,0.0007210235695622,True
27848472,2131.01,,5,5,5,5,5,5,5,161.4,178.2,317.0,0,1,0,KP,KP,10.1058,0.006,1,spoc-s14-s55-b0A-KP,QLP,278.631741,35.661431,-6.069,0.042,-21.745,0.049,2459771.158,0.000175307,1.846837255,3.5e-07,2.757917145,0.008385539,13.159943,0.038433,12047.59461,35.39704,15.605947,0.80889845,2664.903503,1832.483705,399.30225,231.161,1.6365,6352.0,144.2,4.27,0.09,1.36116004,0.0704774,-0.04,0.1,1.261,0.193608,"26,40,53,54",WASP-3 b,2020/8/7,2023/3/15,2023/3/24,0.98795240539,0.0003891436384782,0.0003891436384782,True
1718201850,1351.01,,5,5,5,5,1,5,5,58.5,216.0,94.3,0,0,0,PC,APC,10.3267,0.02,1,qlp-s59-ffi,QLP,286.746549,71.712195,-42.869,1.094,2.803,1.441,2459931.178,0.0001328,5.9294091,1.2e-06,2.984,0.103,16.054551,0.228914,14678.0,210.815,,,,,399.0,125.308,16.6305,,,,,,,,,,,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,53,54,55,56,57,58,59",variable star; unknown stellar radius; likely too large to be PC and secondary is too large to be PC; TFOP APC/SB1,2019/10/30,2023/2/9,2023/2/25,0.985322,0.0004406243063335,0.0003895802516166,True
388104525,112.01,,5,5,5,5,5,5,5,77.0,179.0,125.23,1,1,3,KP,KP,11.6035,0.006,1,spoc,UNKNOWN,55.933639,-65.19378,21.126,0.032,16.543,0.043,2459307.333,0.000456858,2.499799598,4.42e-07,2.865171019,0.009780298,15.991971,0.041631,14621.20596,38.342907,13.85160928,0.7051293,907.8624196,1399.989438,375.26334,302.448,2.004,5650.0,,4.28867,,1.137320042,0.0577764,,,1.0,0.121147,"1,2,3,4,7,11,27,28,29,30,31,34,37",WASP-119 b,2019/5/7,2021/12/2,2022/12/14,0.98537879404,0.0004918651984359,0.0004285724940965,True
252479260,1771.01,,5,5,5,5,5,5,5,228.2,581.9,112.53,0,0,2,KP,KP,9.007,0.006,1,qlp-s48-tois,SPOC/QLP,155.681459,50.128711,-26.182,0.057,83.727,0.066,2459629.717,8.76e-05,3.2122325,6e-07,2.655,0.023,15.880463,9.1e-05,14520.0,0.0834096,12.9848,0.654241,325.569,1183.0,371.0,81.7647,0.2497,5357.7,112.4,4.37,0.08,1.04,0.05,0.282809,0.0423999,0.93,0.116828,"21,48",HAT-P-22 b,2020/3/12,2022/7/7,2022/12/14,0.98548,0.0004413585650929,0.0004413585650929,True
219852584,1295.01,,3,4,3,3,4,4,4,65.5,73.5,317.0,10,3,3,PC,PC,10.7973,0.007,1,spoc-s14-s55-b0A-PC,QLP,256.672203,67.871503,-7.353,0.045,8.48,0.058,2459913.379,0.000486492,3.196883797,7.27e-07,3.753369745,0.012103042,8.675925,0.024612,7958.980656,22.66786,14.96857787,0.6826442,1843.132991,1671.124929,363.3126,388.227,4.4475,6470.0,129.5,4.15,0.09,1.597149968,0.0727236,,,1.32,0.207623,"14,15,16,17,18,19,20,21,22,23,24,25,26,40,41,47,48,49,50,51,52,53,54,55",likely hot Jupiter; cleared by SG2,2019/10/17,2023/3/16,2023/3/24,0.992041019344,0.0003089447096143,0.0002668621185416,True
293687315,1300.01,,5,5,5,5,5,5,5,122.8,166.5,317.0,1,0,2,KP,KP,9.823,0.008,1,qlp-s50-tois,QLP,216.523825,59.444274,-19.45,0.044,6.179,0.042,2459690.555,0.0001782,2.8716968,9e-07,4.541,0.023,9.465329,4.3e-05,8680.0,0.039269,18.3265,0.756373,3310.78,2113.0,363.0,321.376,2.4895,6840.0,128.8,4.05,0.09,1.91,0.08,,,1.48,0.258165,"15,16,22,23,48,50",KELT-18 b,2019/10/17,2022/9/7,2022/12/14,0.99132,0.0003990938644564,0.0003990938644564,True
36734222,656.01,,5,5,5,5,5,5,5,374.5,565.2,114.79,0,0,3,KP,KP,11.1184,0.006,1,spoc,UNKNOWN,154.908187,-9.806443,-42.044,0.069,-38.193,0.066,2459279.797,6.74e-05,0.813473629,2.94e-07,1.230676461,0.004837636,29.292899,0.09197,26619.05497,84.70349,13.16015326,1.2992077,680.8948699,1302.836044,358.0055,86.7467,0.3269,4400.0,,4.64555,,0.757649004,0.0747613,,,0.65,0.082049,"9,35",WASP-43 b,2019/5/7,2021/10/7,2022/12/14,0.97338094503,0.0009236168113494,0.0007410328700154,True
382068562,924.01,,3,4,4,3,3,4,4,47.1,87.5,317.0,2,0,1,PC,PC,11.3593,0.006,1,qlp-s39-tois,UNKNOWN,79.656888,-55.888562,-5.0,0.032,54.438,0.038,2459373.318,0.0001271,12.1273927,2.8e-06,1.859,0.032,20.606151,0.016907,18800.0,15.5718,15.6802,0.868684,32.4718,665.0,358.0,251.24,1.077,5682.0,128.9,4.45,0.08,0.99,0.05,,,1.01,0.127576,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38",v-shaped transit and large Rp for given period; Gaia DR2 error 5.51 km/s; likely EB,2019/7/23,2022/3/21,2022/12/14,0.9812,0.0011560303414889,0.0010546901893413,True
170634116,413.01,,5,5,5,5,5,5,5,138.5,196.5,317.0,0,3,3,KP,KP,9.6757,0.007,1,spoc,UNKNOWN,66.370902,-30.600436,-0.369,0.047,2.623,0.06,2459174.669,0.000262641,3.662391781,6.94e-07,3.766969191,0.008935738,13.386425,0.036697,12253.65825,33.79843,17.28055672,0.84741235,1645.988696,1624.525234,356.4687,246.69,1.807,6600.0,,4.20892,,1.485319972,0.0727839,0.19,0.1,1.54,0.26965,"4,5,31,32",WASP-79 b,2019/6/6,2021/12/2,2022/12/14,0.98774634175,0.0003662760836273,0.0003662760836273,True
16740101,1150.01,,5,5,5,5,5,5,5,341.6,688.0,317.0,1,0,0,KP,KP,7.58204,0.006,1,spoc-s14-s55-b0A-KP,UNKNOWN,307.8599,39.938916,16.728,0.065,21.478,0.07,2458683.458,5.69e-05,1.481090285,3.78e-07,4.158829082,0.005820521,7.395667,0.031139,6788.514539,28.67935,20.34024214,0.522355,33326.73049,3446.021057,355.9918,204.455,1.57,9435.0,174.1,4.11,0.06,2.287729979,0.0585327,,,2.431,0.326593,"14,15,41,55",KELT-9 b,2019/9/3,2023/3/15,2023/3/24,0.993211485461,0.0001259406153184,0.0001259406153184,True
230982885,195.01,,3,5,5,3,5,4,5,163.9,385.9,117.38,1,0,1,KP,KP,9.9696,0.006,1,spoc,UNKNOWN,24.605139,-55.772001,96.163,0.039,20.946,0.035,2458355.49,6.2e-05,2.072759476,4.5e-07,2.589866267,0.009328421,14.772808,0.040841,13514.11234,37.615154,13.33444416,0.6327768,1176.481531,1493.709104,354.0005,151.068,0.509,5640.0,,4.43703,,1.12804997,0.053397,,,1.01,0.127695,"2,29",WASP-97 b,2018/11/3,2021/12/2,2022/12/14,0.98648588766,0.0005003013544316,0.0005003013544316,True
134537478,501.01,,4,4,4,5,5,5,5,174.8,175.4,317.0,1,0,1,KP,KP,10.3887,0.006,1,qlp-s34-tois,SPOC,108.301409,-42.409762,-11.287,0.041,-1.855,0.042,2459987.848,0.0015644,1.7100122,8e-07,1.79,0.112,13.855164,0.002567,12680.0,2.36465,17.2191,0.87616,826.113,1493.0,352.0,250.121,1.539,5720.0,,4.16816,,1.51,0.07,,,1.06,0.139498,"7,33,34,61",KELT-14 b,2019/3/14,2023/4/4,2023/4/4,0.98732,0.0005434026319881,0.0004709859921753,True
144065872,105.01,,5,5,5,5,5,5,5,187.2,431.1,122.95,1,3,2,KP,KP,9.4995,0.006,1,spoc-s01-s36-b0A-CPKP,UNKNOWN,337.457824,-48.003099,91.976,0.052,-6.861,0.069,2459084.585,0.00011,2.184666949,4.85e-07,2.865280016,0.009074817,12.786825,0.037924,11708.02285,34.928566,13.70285267,0.66197515,1362.138143,1549.44098,349.33414,137.544,0.7905,5630.0,,4.37759,,1.238240004,0.0596985,,,1.03,0.127209,"1,28",WASP-95; epoch kept from qlp-s28-tois,2018/9/5,2021/12/8,2022/12/14,0.98829197715,0.0004338763392574,0.0004338763392574,True
350743714,165.01,,5,5,5,5,3,5,5,66.0,218.1,118.14,1,3,2,KP,APC,9.6686,0.007,1,qlp-s62-ffi,QLP,88.886226,-57.290745,2.812,0.056,-39.619,0.049,2460001.886,0.0002422,7.7576416,1.8e-06,3.248,0.221,8.322498,0.064923,7636.0,59.7946,12.92,0.992628,291.465,1151.0,345.0,210.311,1.1585,6038.0,54.0,3.96,0.11,1.41,0.11,,,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36,37,38,39,61,62",EBLM J0555-57; 85 Mjup,2018/11/30,2023/4/12,2023/4/25,0.992364,0.0003827059896602,0.0003447445315765,True
424865156,1265.01,,5,5,5,5,5,5,5,106.0,121.1,317.0,0,1,3,KP,KP,10.0274,0.006,1,spoc-s14-s55-b0A-KP,SPOC,292.24719,47.969543,-18.281,0.038,8.91,0.037,2459443.199,0.0029031,2.204737257,4.74e-07,3.976726319,0.012858977,7.113768,0.0225,6530.604498,20.723417,16.81924784,0.6873013,4831.119639,2126.335048,341.97046,341.079,2.414,6532.23,109.214,3.96818,0.0816647,1.993559957,0.0812563,0.232601,0.0260692,1.347,0.217247,"14,15,40,41,54,55",HAT-P-7 b/Kepler-2 b,2019/10/17,2023/3/15,2023/3/24,0.993469395502,0.0002772785852106,0.0002772785852106,True
310002617,4087.01,TIC 310002617.01,3,4,4,3,3,4,4,74.4,203.3,125.51,5,8,2,PC,PC,11.2961,0.027,1,qlp-s52-tois,QLP,217.925779,83.372706,-16.728,0.038,10.376,0.039,2459765.674,0.0001942,3.1774814,9e-07,2.824,0.037,15.516952,0.000196,14190.0,0.18035,13.9016,0.65223,625.157,1393.0,338.0,301.676,2.209,6071.0,205.3,4.39,0.09,1.12,0.05,,,1.13,0.173434,"14,19,21,26,40,41,47,52",found in faint-star QLP search; CTOI from Olmschenk et al. (2021); variable host,2021/6/23,2022/10/4,2022/12/14,0.98581,0.0007822750524448,0.0006586672698323,True
116264089,2126.01,,5,5,5,5,5,5,5,235.7,250.9,317.0,0,0,1,KP,KP,11.7213,0.006,1,spoc-s14-s55-b0A-KP,SPOC,268.029111,37.546327,-24.529,0.037,34.809,0.041,2459391.064,0.000216069,1.306188017,3.3e-07,1.417774563,0.007470576,27.20596,0.158196,24746.27944,145.69313,16.75888299,1.2310016,1025.502189,1443.289405,329.90997,231.337,1.2955,5489.0,139.399,4.59342,0.0885229,0.820181012,0.0486935,-0.24,0.1,0.962,0.132489,"25,26,40,52,53",TRES-3 b,2020/7/29,2023/3/15,2023/3/24,0.97525372056,0.0010092612542689,0.0010092612542689,True
120757718,1236.01,,5,5,5,5,5,5,5,111.4,301.9,108.82,0,0,0,KP,KP,11.0248,0.006,1,spoc-s14-s55-b0A-KP,SPOC,286.040876,36.632536,-32.207,0.046,-20.401,0.046,2459422.691,0.00024318,3.030071458,4.8e-07,2.546667138,0.010609142,23.924875,0.088368,21794.6137,81.38665,12.75298917,0.68132544,318.4581858,1077.414594,327.5781,159.658,0.733,5242.82,110.777,4.52404,0.0808874,0.857369006,0.045686,0.0414032,0.0370742,0.896,0.107192,"14,40,41,53,54",TrES-1 b,2019/10/17,2023/3/15,2023/3/24,0.9782053863,0.0008880281787207,0.0008880281787207,True
